596.83	9.0068e-11	4.9802e-10	9.5323e-10
602.88	9.1859e-11	5.0104e-10	9.4841e-10
608.93	9.0561e-11	5.0171e-10	9.4904e-10
614.99	9.2449e-11	5.0332e-10	9.4554e-10
621.04	9.2959e-11	4.9399e-10	9.5437e-10
627.09	9.7226e-11	5.0211e-10	9.4198e-10
633.15	9.7033e-11	5.0214e-10	9.4215e-10
639.2	9.3702e-11	5.0718e-10	9.4044e-10
645.25	9.7171e-11	5.0303e-10	9.4112e-10
651.31	1.0129e-10	5.0921e-10	9.3081e-10
657.36	9.6459e-11	5.1031e-10	9.3455e-10
663.41	9.7226e-11	5.1028e-10	9.3381e-10
669.47	9.5692e-11	5.13e-10	9.3263e-10
675.52	9.7778e-11	5.1569e-10	9.2784e-10
681.58	9.7344e-11	5.1267e-10	9.313e-10
687.63	1.02e-10	5.1973e-10	9.1959e-10
693.68	9.6333e-11	5.1135e-10	9.3363e-10
699.74	1.0005e-10	5.1603e-10	9.2523e-10
705.79	1.0213e-10	5.2041e-10	9.1878e-10
711.84	1.047e-10	5.201e-10	9.1651e-10
717.9	1.0449e-10	5.1908e-10	9.1774e-10
723.95	1.0294e-10	5.2543e-10	9.1295e-10
730	1.0697e-10	5.214e-10	9.1295e-10
736.06	1.0534e-10	5.1335e-10	9.2263e-10
742.11	1.0181e-10	5.1567e-10	9.2383e-10
748.16	1.0347e-10	5.2905e-10	9.0879e-10
754.22	1.0511e-10	5.272e-10	9.09e-10
760.27	1.0631e-10	5.2624e-10	9.0877e-10
766.32	1.0471e-10	5.2518e-10	9.1142e-10
772.38	1.0559e-10	5.2561e-10	9.1012e-10
778.43	1.0559e-10	5.3256e-10	9.0316e-10
784.49	1.1161e-10	5.2912e-10	9.0059e-10
790.54	1.0907e-10	5.2621e-10	9.0603e-10
796.59	1.1339e-10	5.2394e-10	9.0399e-10
802.64	1.0971e-10	5.3439e-10	8.9722e-10
808.7	1.0999e-10	5.3082e-10	9.0051e-10
814.75	1.1126e-10	5.3714e-10	8.9291e-10
820.81	1.1453e-10	5.3554e-10	8.9124e-10
826.86	1.1303e-10	5.3512e-10	8.9317e-10
832.91	1.1252e-10	5.3863e-10	8.9016e-10
838.97	1.146e-10	5.4235e-10	8.8437e-10
845.02	1.1141e-10	5.3882e-10	8.9109e-10
851.07	1.1307e-10	5.3952e-10	8.8872e-10
857.13	1.1218e-10	5.4967e-10	8.7946e-10
863.18	1.1442e-10	5.4911e-10	8.7778e-10
869.23	1.1188e-10	5.4534e-10	8.8409e-10
875.29	1.1481e-10	5.4926e-10	8.7724e-10
881.34	1.1715e-10	5.4413e-10	8.8003e-10
887.39	1.1691e-10	5.4565e-10	8.7876e-10
893.45	1.1851e-10	5.4179e-10	8.8101e-10
899.5	1.2187e-10	5.526e-10	8.6684e-10
905.55	1.1828e-10	5.468e-10	8.7624e-10
911.61	1.2038e-10	5.4884e-10	8.7209e-10
917.66	1.1736e-10	5.5172e-10	8.7223e-10
923.72	1.2098e-10	5.5393e-10	8.6641e-10
929.77	1.1949e-10	5.5376e-10	8.6807e-10
935.82	1.2121e-10	5.5303e-10	8.6708e-10
941.88	1.1963e-10	5.6359e-10	8.5809e-10
947.93	1.2386e-10	5.5325e-10	8.642e-10
953.98	1.2308e-10	5.556e-10	8.6263e-10
960.04	1.1873e-10	5.6297e-10	8.5961e-10
966.09	1.2934e-10	5.5834e-10	8.5363e-10
