46	266.744	5.26E-12	5.11E-09	1.70E-10	7.14E-10	2.45E-09	2.04E-08	1.03E-07	5.46E-08
47	272.582	5.26E-12	5.11E-09	1.70E-10	7.28E-10	2.45E-09	2.05E-08	1.02E-07	5.48E-08
48	278.47	5.26E-12	5.11E-09	1.73E-10	7.36E-10	2.45E-09	2.05E-08	1.02E-07	5.46E-08
49	284.309	5.26E-12	5.13E-09	1.73E-10	7.28E-10	2.44E-09	2.06E-08	1.02E-07	5.47E-08
50	290.077	5.24E-12	5.09E-09	1.80E-10	7.34E-10	2.46E-09	2.06E-08	1.04E-07	5.51E-08
51	295.956	5.26E-12	5.11E-09	1.68E-10	7.32E-10	2.47E-09	2.07E-08	1.03E-07	5.53E-08
52	301.734	5.25E-12	5.09E-09	1.75E-10	7.32E-10	2.45E-09	2.05E-08	1.03E-07	5.47E-08
53	307.562	5.24E-12	5.12E-09	1.69E-10	7.51E-10	2.43E-09	2.05E-08	1.02E-07	5.48E-08
54	313.331	5.25E-12	5.14E-09	1.81E-10	7.58E-10	2.48E-09	2.04E-08	1.02E-07	5.47E-08
55	319.179	5.24E-12	5.10E-09	1.75E-10	7.51E-10	2.40E-09	2.04E-08	1.02E-07	5.48E-08
56	325.027	5.25E-12	5.07E-09	1.80E-10	7.40E-10	2.44E-09	2.05E-08	1.02E-07	5.48E-08
57	330.856	5.25E-12	5.13E-09	1.79E-10	7.64E-10	2.40E-09	2.04E-08	1.02E-07	5.49E-08
58	336.704	5.25E-12	5.10E-09	1.80E-10	7.83E-10	2.42E-09	2.05E-08	1.02E-07	5.45E-08
59	342.523	5.25E-12	5.07E-09	1.81E-10	7.64E-10	2.43E-09	2.04E-08	1.02E-07	5.48E-08
60	348.351	5.24E-12	5.11E-09	1.83E-10	7.78E-10	2.43E-09	2.03E-08	1.02E-07	5.46E-08
61	354.249	5.24E-12	5.08E-09	1.84E-10	7.76E-10	2.39E-09	2.03E-08	1.02E-07	5.47E-08
62	360.068	5.23E-12	5.08E-09	1.77E-10	7.84E-10	2.37E-09	2.03E-08	1.01E-07	5.47E-08
63	365.896	5.22E-12	5.09E-09	1.79E-10	7.91E-10	2.39E-09	2.03E-08	1.01E-07	5.43E-08
64	371.735	5.23E-12	5.07E-09	1.84E-10	8.02E-10	2.39E-09	2.03E-08	1.01E-07	5.45E-08
65	377.503	5.22E-12	5.09E-09	1.86E-10	7.79E-10	2.38E-09	2.02E-08	1.01E-07	5.45E-08
66	383.391	5.21E-12	5.08E-09	1.79E-10	7.81E-10	2.35E-09	2.02E-08	1.01E-07	5.45E-08
67	389.22	5.19E-12	5.11E-09	1.84E-10	7.92E-10	2.39E-09	2.02E-08	1.01E-07	5.47E-08
68	395.048	5.19E-12	5.10E-09	1.77E-10	7.92E-10	2.38E-09	2.02E-08	1.01E-07	5.42E-08
69	400.937	5.20E-12	5.09E-09	1.87E-10	7.93E-10	2.35E-09	2.02E-08	1.01E-07	5.45E-08
70	406.765	5.17E-12	5.11E-09	1.85E-10	7.89E-10	2.37E-09	2.01E-08	1.01E-07	5.44E-08
71	412.593	5.17E-12	5.07E-09	1.82E-10	8.14E-10	2.36E-09	2.02E-08	1.01E-07	5.45E-08
72	418.482	5.18E-12	5.12E-09	1.81E-10	8.35E-10	2.35E-09	2.02E-08	1.01E-07	5.45E-08
73	424.25	5.18E-12	5.10E-09	1.87E-10	8.33E-10	2.31E-09	2.02E-08	1.01E-07	5.45E-08
74	430.088	5.17E-12	5.10E-09	1.86E-10	8.15E-10	2.35E-09	2.02E-08	1.01E-07	5.46E-08
75	435.857	5.17E-12	5.11E-09	1.83E-10	8.24E-10	2.37E-09	2.02E-08	1.01E-07	5.43E-08
76	441.695	5.16E-12	5.12E-09	1.84E-10	8.30E-10	2.32E-09	2.02E-08	1.01E-07	5.45E-08
77	447.463	5.17E-12	5.09E-09	1.87E-10	8.30E-10	2.30E-09	2.02E-08	1.01E-07	5.47E-08
78	453.292	5.15E-12	5.12E-09	1.91E-10	8.27E-10	2.34E-09	2.01E-08	1.01E-07	5.45E-08
79	459.12	5.15E-12	5.09E-09	1.86E-10	8.45E-10	2.31E-09	2.01E-08	1.01E-07	5.45E-08
80	464.949	5.14E-12	5.03E-09	1.83E-10	8.32E-10	2.34E-09	2.01E-08	1.00E-07	5.39E-08
81	470.727	5.14E-12	5.05E-09	1.96E-10	8.50E-10	2.33E-09	2.01E-08	1.00E-07	5.44E-08
82	476.495	5.13E-12	5.10E-09	1.87E-10	8.59E-10	2.33E-09	2.01E-08	1.00E-07	5.44E-08
83	482.384	5.12E-12	5.07E-09	1.89E-10	8.62E-10	2.32E-09	2.01E-08	1.00E-07	5.47E-08
84	488.212	5.10E-12	5.07E-09	1.88E-10	8.53E-10	2.29E-09	2.01E-08	1.00E-07	5.41E-08
85	494.04	5.10E-12	5.02E-09	1.94E-10	8.66E-10	2.30E-09	2.00E-08	9.94E-08	5.43E-08
86	499.879	5.09E-12	5.07E-09	1.93E-10	8.57E-10	2.31E-09	2.01E-08	9.93E-08	5.42E-08
87	505.707	5.10E-12	5.04E-09	1.99E-10	8.62E-10	2.31E-09	1.99E-08	9.95E-08	5.45E-08
88	511.596	5.11E-12	5.08E-09	2.01E-10	8.71E-10	2.30E-09	1.99E-08	9.93E-08	5.40E-08
89	517.444	5.11E-12	4.99E-09	1.88E-10	8.58E-10	2.28E-09	2.00E-08	9.96E-08	5.41E-08
90	523.272	5.11E-12	5.05E-09	1.89E-10	8.82E-10	2.28E-09	1.99E-08	9.92E-08	5.43E-08
91	529.111	5.12E-12	5.02E-09	1.99E-10	8.72E-10	2.26E-09	2.00E-08	9.90E-08	5.40E-08
92	534.939	5.12E-12	5.03E-09	1.93E-10	8.80E-10	2.25E-09	1.99E-08	9.92E-08	5.39E-08
93	540.848	5.11E-12	5.04E-09	2.00E-10	8.82E-10	2.25E-09	2.00E-08	9.79E-08	5.36E-08
94	546.676	5.10E-12	5.37E-09	3.21E-10	8.79E-10	1.65E-09	1.99E-08	9.55E-08	5.40E-08
95	552.444	5.11E-12	5.43E-09	6.96E-10	9.56E-10	1.23E-09	2.00E-08	9.47E-08	5.41E-08
96	558.223	5.10E-12	5.44E-09	9.43E-10	9.60E-10	1.02E-09	2.00E-08	9.44E-08	5.40E-08
97	563.991	5.10E-12	5.45E-09	1.09E-09	9.67E-10	9.17E-10	2.01E-08	9.42E-08	5.36E-08
98	569.759	5.09E-12	5.46E-09	1.17E-09	9.39E-10	8.96E-10	2.01E-08	9.41E-08	5.34E-08
99	575.528	5.08E-12	5.44E-09	1.19E-09	9.31E-10	8.77E-10	2.00E-08	9.38E-08	5.40E-08
100	581.306	5.08E-12	5.47E-09	1.24E-09	9.19E-10	8.76E-10	2.00E-08	9.39E-08	5.38E-08
101	587.144	5.07E-12	5.49E-09	1.23E-09	9.34E-10	8.93E-10	2.01E-08	9.37E-08	5.40E-08
102	592.913	5.09E-12	5.48E-09	1.23E-09	9.35E-10	8.77E-10	2.00E-08	9.37E-08	5.34E-08
103	598.681	5.10E-12	5.51E-09	1.23E-09	9.46E-10	8.75E-10	2.01E-08	9.35E-08	5.38E-08
104	604.449	5.11E-12	5.45E-09	1.25E-09	9.49E-10	8.84E-10	2.00E-08	9.34E-08	5.40E-08
105	610.217	5.12E-12	5.50E-09	1.23E-09	9.38E-10	8.77E-10	2.01E-08	9.33E-08	5.37E-08
